time,open,high,low,close,tick_volume,spread,real_volume,rsi,sma_20,std_20,upper_bb,lower_bb,atr_current,ema30,ema90,vol_sma,day,vwap,vwap_std,cvd,ofi,volume_ratio,regime,dir_prob
2026-02-25 14:04:00,194115.0,194150.0,194090.0,194120.0,2958,5,8967,56.89124967162632,194091.0,32.8313072676723,194156.66261453534,194025.33738546466,72.14285714285714,194089.29030761783,194202.5464167733,4320.7,2026-02-25,194654.45037558736,31.245584484676737,-27380.0,0.08333333331944444,0.6846112898357104,0,0.015466499810739895
2026-02-25 14:05:00,194120.0,194160.0,194105.0,194160.0,2475,5,6692,67.96438102875462,194095.25,35.99981725185932,194167.2496345037,194023.2503654963,69.28571428571429,194093.85222325538,194201.61133069036,4282.05,2026-02-25,194654.02403111086,33.130413053356406,-24905.0,0.7272727271404958,0.5779941850268493,0,0.0077349413877136714
2026-02-25 14:06:00,194160.0,194160.0,194065.0,194105.0,4473,5,13249,47.1488054662261,194099.25,32.00637272167133,194163.26274544335,194035.23725455665,71.42857142857143,194094.57143465828,194199.4880047411,4238.7,2026-02-25,194653.20779442653,30.322221794937562,-29378.0,-0.5789473683601108,1.055276381907058,0,0.012887919354145736
2026-02-25 14:07:00,194105.0,194210.0,194095.0,194190.0,7319,5,24342,66.7949531505547,194105.75,36.500720974253284,194178.7514419485,194032.7485580515,76.42857142857143,194100.72811629323,194199.27947716438,4464.95,2026-02-25,194652.0121812344,31.994494227831733,-22059.0,0.7391304347183365,1.639212085238045,0,0.041221107893431023
2026-02-25 14:08:00,194190.0,194220.0,194145.0,194170.0,4338,5,13387,60.21191844739355,194111.0,37.85707192583529,194186.71414385168,194035.28585614832,73.92857142857143,194105.19727008077,194198.63597217176,4546.7,2026-02-25,194651.32562225658,35.19536120522455,-26397.0,-0.26666666663111116,0.9540985769878064,0,0.025770198281979156
2026-02-25 14:09:00,194170.0,194185.0,194010.0,194035.0,10821,5,36924,32.87457091717582,194110.5,38.82823172652119,194188.15646345305,194032.84353654695,80.71428571428571,194100.66841394652,194195.03957717895,4935.9,2026-02-25,194649.2554117166,32.96773187682727,-37218.0,-0.7714285713844897,2.192305354642128,0,0.06436231596091074
2026-02-25 14:10:00,194040.0,194075.0,194010.0,194055.0,4252,5,13932,38.08060330321035,194110.5,38.82823172652119,194188.15646345305,194032.84353654695,81.42857142857143,194097.72206465967,194191.9617842739,5040.9,2026-02-25,194648.40361321284,33.296470846524194,-32966.0,0.23076923073372782,0.8435001686190096,0,0.02572774433263724
2026-02-25 14:11:00,194050.0,194080.0,193980.0,193995.0,4780,5,15716,29.500684906219576,194104.25,46.51754055201973,194197.28508110403,194011.21491889597,81.42857142857143,194091.09483468163,194187.63295385032,4982.55,2026-02-25,194647.40395876183,39.15182623008419,-37746.0,-0.549999999945,0.9593481249541713,0,0.10043754548905671
2026-02-25 14:12:00,193995.0,194015.0,193820.0,193880.0,16675,5,54225,19.1587297318046,194092.0,68.0441033452739,194228.08820669056,193955.91179330944,92.14285714285714,194077.47581308926,194180.87179002943,5571.0,2026-02-25,194643.3175477501,59.563409134138126,-54421.0,-0.5897435897133465,2.993178962478921,0,0.1494182323229706
2026-02-25 14:13:00,193885.0,193920.0,193825.0,193915.0,7290,5,24922,28.671632416373257,194081.25,77.98236980281476,194237.21473960564,193925.28526039436,94.28571428571429,194066.9935025674,194175.02845398482,5747.0,2026-02-25,194641.5011323539,74.98518372225828,-47131.0,0.31578947365096954,1.268487906731741,0,0.06183912537015045
2026-02-25 14:14:00,193915.0,193935.0,193890.0,193910.0,2956,5,9344,28.08154960049056,194071.25,86.46378919622197,194244.17757839244,193898.32242160756,93.21428571428571,194056.86488949854,194169.20365279834,5483.0,2026-02-25,194640.79139385998,82.89511974344825,-50087.0,-0.11111111108641974,0.5391209192038317,0,0.07472499345538491
2026-02-25 14:15:00,193910.0,193975.0,193910.0,193955.0,3877,5,13222,41.60250266488663,194062.75,89.21403890030989,194241.1780778006,193884.3219221994,91.07142857142857,194050.2929611438,194164.49588020935,5433.1,2026-02-25,194639.90719630697,86.86397917021802,-46210.0,0.6923076922011835,0.7135889271305266,0,0.020599281862654892
2026-02-25 14:16:00,193950.0,193990.0,193940.0,193975.0,3504,5,11064,47.12510758612385,194056.25,90.69722620989852,194237.6444524198,193874.8555475802,87.5,194045.43535074743,194160.33113558937,5473.05,2026-02-25,194639.1349174078,88.65874354575054,-42706.0,0.4999999999,0.6402280264191991,0,0.048992266717511154
2026-02-25 14:17:00,193975.0,193995.0,193950.0,193960.0,4424,5,14363,43.28731365717056,194051.5,93.21875799521126,194237.93751599043,193865.06248400957,88.21428571428571,194039.92339263472,194155.92825348847,5315.15,2026-02-25,194638.16240445006,90.83156283535351,-47130.0,-0.33333333325925923,0.8323377515200281,0,0.02320690789118242
2026-02-25 14:18:00,193955.0,194035.0,193925.0,194000.0,6253,5,19938,55.39566712151057,194047.25,93.54811596213315,194234.34623192425,193860.15376807575,91.78571428571429,194037.3476898841,194152.5012589063,5436.65,2026-02-25,194636.83011932063,91.78266185745974,-40877.0,0.40909090905371903,1.1501568061193013,0,0.0464081660383232
2026-02-25 14:19:00,194000.0,194095.0,194000.0,194095.0,6690,5,23123,72.69966551422273,194047.25,93.54811596213315,194234.34623192425,193860.15376807575,94.64285714285714,194041.06719376254,194151.23749497428,5628.95,2026-02-25,194635.57811700169,91.48302977568788,-34187.0,0.9999999998947369,1.1884987431027305,0,0.07217059594655462
2026-02-25 14:20:00,194095.0,194110.0,194035.0,194055.0,4970,5,16017,60.372694465920375,194045.5,93.03225247227338,194231.56450494454,193859.43549505546,93.21428571428571,194041.96608448756,194149.1223851946,5660.4,2026-02-25,194634.65693528234,90.9612008417724,-39157.0,-0.5333333332622223,0.8780298212124974,0,0.041250460786799906
2026-02-25 14:21:00,194050.0,194065.0,193980.0,193995.0,7235,5,24323,45.80888581813583,194038.0,90.6032414899511,194219.2064829799,193856.7935170201,91.07142857142857,194038.93601452064,194145.7350800255,5627.6,2026-02-25,194633.19584130062,88.40277806545801,-46392.0,-0.6470588234532872,1.285627976399734,0,0.018064346728528895
2026-02-25 14:22:00,193995.0,194075.0,193960.0,194055.0,5956,5,19104,58.36383899398651,194036.75,90.16468850219026,194217.07937700438,193856.42062299562,93.92857142857143,194039.97240068062,194143.7409024425,5684.55,2026-02-25,194632.0303880233,86.96856157173079,-40436.0,0.521739130389414,1.0477522407208173,0,0.028370170083208506
2026-02-25 14:23:00,194050.0,194090.0,194030.0,194075.0,2834,5,9013,62.02926748100056,194035.0,89.00029568290476,194213.0005913658,193856.9994086342,85.71428571428571,194042.23224579802,194142.23011337785,5704.0,2026-02-25,194631.5095664877,85.87437274786429,-37602.0,0.41666666659722223,0.49684431977472504,0,0.010292545636402285
2026-02-25 14:24:00,194075.0,194120.0,194050.0,194105.0,3708,5,12259,67.40891862994204,194034.25,88.30680667609222,194210.86361335218,193857.63638664782,86.07142857142857,194046.2817783272,194141.41186912777,5741.5,2026-02-25,194630.86157654854,84.59501042955418,-33894.0,0.42857142851020413,0.6458242619513266,0,0.025773860808021062
2026-02-25 14:25:00,194100.0,194130.0,194085.0,194095.0,4248,5,14467,63.651394160194535,194031.0,84.55144805671152,194200.1028961134,193861.8971038866,82.14285714285714,194049.42488940287,194140.39182804804,5830.15,2026-02-25,194630.13714965567,82.38490997698803,-38142.0,-0.11111111108641974,0.7286261931498699,0,0.05154107934163329
2026-02-25 14:26:00,194095.0,194110.0,194050.0,194095.0,4618,5,14695,63.65139415975102,194030.5,84.1192762192157,194198.73855243844,193862.26144756156,72.5,194052.36521911883,194139.39420545357,5837.4,2026-02-25,194629.324550828,81.29093660656791,-38142.0,0.0,0.7911056292171325,0,0.020612447160391505
2026-02-25 14:27:00,194095.0,194130.0,194085.0,194125.0,2583,5,8158,71.18144541767909,194027.25,78.71459103731159,194184.67918207461,193869.82081792539,68.92857142857143,194057.0513340144,194139.07784928975,5600.6,2026-02-25,194628.89469654995,77.46698032736819,-35559.0,0.6666666665185185,0.4612005856507138,0,0.02576243941028041
2026-02-25 14:28:00,194120.0,194170.0,194105.0,194160.0,5147,5,16767,77.86782553196483,194026.75,77.78639781013453,194182.32279562028,193871.17720437972,70.35714285714286,194063.69318343283,194139.5376767779,5641.05,2026-02-25,194628.09276142548,74.31731201814834,-30412.0,0.6153846152899409,0.912418787280892,0,0.028334117982973916
2026-02-25 14:29:00,194160.0,194175.0,194055.0,194085.0,7756,5,25428,48.02290073468079,194029.25,78.86155423847507,194186.97310847696,193871.52689152304,74.28571428571429,194065.06781675975,194138.33904651905,5487.8,2026-02-25,194626.78969216114,75.6210156755467,-38168.0,-0.6249999999479167,1.4133168118345907,0,0.0051419669377402765
2026-02-25 14:30:00,194090.0,194205.0,194085.0,194195.0,6635,5,20696,69.47325227921728,194036.25,87.05526073200885,194210.36052146403,193862.13947853597,79.28571428571429,194073.45053825915,194139.58434219993,5606.95,2026-02-25,194625.8006034566,81.42458750522381,-31533.0,0.8749999999270833,1.183352803215325,0,0.05153423163505
2026-02-25 14:31:00,194190.0,194270.0,194165.0,194250.0,7389,5,27482,75.73256062213929,194049.0,98.60340551427265,194246.20681102853,193851.79318897147,83.57142857142857,194084.8408261134,194142.01105995377,5737.4,2026-02-25,194624.8615587938,92.4033792835769,-24144.0,0.5714285713741497,1.2878655837116328,0,0.06439993036637921
2026-02-25 14:32:00,194250.0,194340.0,194245.0,194320.0,7916,5,27108,81.70159839374975,194071.0,107.58839694854699,194286.1767938971,193855.8232061029,82.5,194100.012385719,194145.92290478994,5299.45,2026-02-25,194624.04559358634,103.31900721336866,-16228.0,0.7368421051855956,1.493739916403601,0,0.08240634631226713
2026-02-25 14:33:00,194320.0,194395.0,194310.0,194360.0,6227,5,21267,84.43606029946206,194093.25,119.03421666438697,194331.31843332876,193855.18156667124,81.78571428571429,194116.78578018874,194150.62789589347,5246.3,2026-02-25,194623.51232689133,113.99074036506099,-10001.0,0.47058823523875437,1.1869317423685513,0,0.85
